Ativo Meta,Empresa,Total,próxima entrada,proximo Balanco
DECK.NYSE,Deckers Outdoor Corporation,31.19,2025-10-20,2025-10-23
SYF.NYSE,Synchrony Financial,31.19,2025-10-10,2025-10-15
LUV.NYSE,Southwest Airlines Co.,31.19,2025-10-17,2025-10-22
GEV.NYSE,GE Vernova Inc.,31.19,2025-10-17,2025-10-22
HWM.NYSE,Howmet Aerospace Inc.,31.19,2025-07-28,2025-07-31
EA.NAS,Electronic Arts Inc.,31.19,2025-10-23,2025-10-28
RL.NYSE,Ralph Lauren Corporation,31.19,2025-11-03,2025-11-06
SW.NYSE,Smurfit Westrock Plc,31.19,2025-10-24,2025-10-29
PNR.NYSE,Pentair plc,30.11,2025-07-17,2025-07-22
PNC.NYSE,"The PNC Financial Services Group, Inc.",30.11,2025-10-10,2025-10-15
YUM.NYSE,"Yum! Brands, Inc.",30.11,2025-10-30,2025-11-04
V.NYSE,Visa Inc.,30.11,2025-10-23,2025-10-28
WAB.NYSE,Westinghouse Air Brake Technologies Corporation,30.11,2025-10-17,2025-10-22
DE.NYSE,Deere & Company,30.11,2025-08-11,2025-08-14
QCOM.NAS,QUALCOMM Incorporated,30.11,2025-07-25,2025-07-30
NTRS.NAS,Northern Trust Corporation,30.11,2025-10-17,2025-10-22
EXR.NYSE,Extra Space Storage Inc.,30.11,2025-10-23,2025-10-28
FRT.NYSE,Federal Realty Investment Trust,30.11,2025-10-31,2025-11-05
T.NYSE,AT&T Inc.,30.11,2025-10-17,2025-10-22
EXPD.NYSE,"Expeditors International of Washington, Inc.",30.11,2025-10-30,2025-11-04
TKO.NYSE,"TKO Group Holdings, Inc.",30.11,2025-11-03,2025-11-06
MAR.NAS,"Marriott International, Inc.",30.11,2025-10-29,2025-11-03
MPC.NYSE,Marathon Petroleum Corporation,30.11,2025-10-30,2025-11-04
TXN.NAS,Texas Instruments Incorporated,30.11,2025-10-16,2025-10-21
VLO.NYSE,Valero Energy Corporation,30.11,2025-07-21,2025-07-24
ITW.NYSE,Illinois Tool Works Inc.,30.11,2025-10-24,2025-10-29
CHD.NYSE,"Church & Dwight Co., Inc.",30.11,2025-10-28,2025-10-31
AVB.NYSE,"AvalonBay Communities, Inc.",30.11,2025-07-25,2025-07-30
DAL.NYSE,"Delta Air Lines, Inc.",29.040000000000003,2025-10-06,2025-10-09
EQIX.NAS,"Equinix, Inc.",29.040000000000003,2025-10-24,2025-10-29
ROST.NAS,"Ross Stores, Inc.",29.040000000000003,2025-08-18,2025-08-21
DG.NYSE,Dollar General Corporation,29.040000000000003,2025-08-25,2025-08-28
NTAP.NAS,"NetApp, Inc.",29.040000000000003,2025-08-22,2025-08-27
ULTA.NAS,"Ulta Beauty, Inc.",29.040000000000003,2025-08-25,2025-08-28
GOOG.NAS,Alphabet Inc.,29.040000000000003,2025-07-18,2025-07-23
GOOGL.NAS,Alphabet Inc.,29.040000000000003,2025-07-18,2025-07-23
CDW.NAS,CDW Corporation,29.04,2025-10-31,2025-11-05
ENPH.None,"Enphase Energy, Inc.",29.04,2025-10-16,2025-10-21
USB.NYSE,U.S. Bancorp,27.96,2025-10-13,2025-10-16
MTB.NYSE,M&T Bank Corporation,27.96,2025-10-13,2025-10-16
BMY.NYSE,Bristol-Myers Squibb Company,27.96,2025-10-27,2025-10-30
AMGN.NAS,Amgen Inc.,27.96,2025-10-24,2025-10-29
CPRT.NAS,"Copart, Inc.",27.96,2025-09-08,2025-09-11
RMD.NYSE,ResMed Inc.,27.96,2025-10-20,2025-10-23
EOG.NYSE,"EOG Resources, Inc.",27.96,2025-11-03,2025-11-06
EW.NYSE,Edwards Lifesciences Corporation,27.96,2025-10-20,2025-10-23
PODD.NAS,Insulet Corporation,27.96,2025-11-03,2025-11-06
INCY.NAS,Incyte Corporation,27.96,2025-10-23,2025-10-28
TRGP.NYSE,Targa Resources Corp.,27.96,2025-08-04,2025-08-07
TECH.NAS,Bio-Techne Corporation,27.96,2025-10-31,2025-11-05
BAC.NYSE,Bank of America Corporation,27.96,2025-10-10,2025-10-15
TTWO.NAS,"Take-Two Interactive Software, Inc.",27.96,2025-10-31,2025-11-05
ABBV.NYSE,AbbVie Inc.,27.96,2025-07-28,2025-07-31
VTRS.NAS,Viatris Inc.,27.96,2025-11-03,2025-11-06
EXE.NAS,Expand Energy Corporation,27.96,2025-10-23,2025-10-28
XOM.NYSE,Exxon Mobil Corporation,27.96,2025-10-28,2025-10-31
GEHC.NAS,GE HealthCare Technologies Inc.,27.96,2025-10-24,2025-10-29
DD.NYSE,"DuPont de Nemours, Inc.",27.96,2025-07-31,2025-08-05
ECL.NYSE,Ecolab Inc.,27.96,2025-10-23,2025-10-28
EQT.NYSE,EQT Corporation,27.96,2025-07-17,2025-07-22
ADBE.NAS,Adobe Inc.,26.89,2025-09-05,2025-09-10
CAH.NYSE,"Cardinal Health, Inc.",26.88,2025-08-07,2025-08-12
PFE.NYSE,Pfizer Inc.,26.88,2025-10-30,2025-11-04
FCX.NYSE,Freeport-McMoRan Inc.,26.88,2025-10-16,2025-10-21
COR.NYSE,"Cencora, Inc.",26.88,2025-08-01,2025-08-06
ISRG.NAS,"Intuitive Surgical, Inc.",26.88,2025-10-13,2025-10-16
CF.NYSE,"CF Industries Holdings, Inc.",26.88,2025-10-31,2025-11-05
CI.NYSE,The Cigna Group,26.88,2025-10-27,2025-10-30
